Product,Ingredients,Ingredient - 1,Ingredient - 2,Ingredient - 3,Ingredient - 4,Ingredient - 5,Ingredient - 6,Manufacturing Step 1,Manufacturing Step 1 Description,Manufacturing Step 2,Manufacturing Step 2 Description,Manufacturing Step 3,Manufacturing Step 3 Description,Manufacturing Step 4,Manufacturing Step 4 Description,Manufacturing Step 5,Manufacturing Step 5 Description,,,,,,,,,,
Barley Malt Extract,Barley grains,Barley grains,,,,,,Barley Selection,Select barley grains,Malting,"Soak, germinate, and dry barley to develop enzymes",Mashing,Mash malted barley to extract sugars,Evaporation,Evaporate water to concentrate extract,Filtration,Filter to remove solid residues,,,,,,,,,,
Milk,Dairy cows,Dairy cows,,,,,,Milk Collection,Collect milk from dairy cows,Clarification,Remove impurities from milk,Pasteurization,Heat milk to eliminate pathogens,Homogenization,Break down fat molecules evenly in milk,Fortification,Add vitamins and minerals if necessary,,,,,,,,,,
Malt Extract,Barley grains,Barley grains,,,,,,Barley Selection,Select and prepare barley grains,Malting,"Soak, germinate, and dry barley to develop enzymes",Mashing,Mash malted barley to extract sugars,Evaporation,Evaporate water to concentrate extract,Filtration,Filter to remove solid residues,,,,,,,,,,
Preservative: 250,Chemical synthesis,Chemical synthesis,,,,,,Synthesis,Chemically synthesize the preservative compound,Purification,Purify the synthesized compound,Concentration,Concentrate the preservative for potency,Stabilization,Stabilize the compound for storage and use,,,,,,,,,,,,
Long grain white rice,Rice paddies,Rice paddies,,,,,,Harvesting,Harvest rice from rice paddies,Hulling,Remove husk from rice grains,Milling,Mill to remove bran and polish grains,Grading,Sort rice by size and quality,Enriching,Enrich with nutrients if necessary,,,,,,,,,,
Sour Cream Powder,"Cream, lactic acid bacteria",Cream,lactic acid bacteria,,,,,Cream Collection,Collect cream from milk,Fermentation,Add lactic acid bacteria for fermentation,Drying,Dry the fermented cream to powder form,,,,,,,,,,,,,,
Malt Extract: From Barley,Barley grains,Barley grains,,,,,,Barley Selection,Select and prepare barley grains,Malting,"Soak, germinate, and dry barley to develop enzymes",Mashing,Mash malted barley to extract sugars,Evaporation,Evaporate water to concentrate extract,Filtration,Filter to remove solid residues,,,,,,,,,,
Acidity Regulator: 501,Mineral deposits,Mineral deposits,,,,,,Mineral Extraction,Extract minerals from natural deposits,Purification,Purify extracted minerals,Concentration,Concentrate the mineral solution,Drying,Dry to obtain powdered form,Blending,Blend to achieve desired acidity level,,,,,,,,,,
Dried Herb: Basil,Basil plants,Basil plants,,,,,,Plant Harvesting,Harvest basil plants,Drying,Dry the basil leaves,Grinding,Grind dried leaves into powder,Sifting,Sift to achieve uniform particle size,,,,,,,,,,,,
Whey Powder,Liquid Whey,Liquid Whey,,,,,,Whey Collection,Collect liquid whey as a by-product of cheesemaking,Pasteurization,Pasteurize whey to eliminate pathogens,Concentration,Concentrate the whey by removing water,Drying,Dry to form whey powder,,,,,,,,,,,,
Fresh Coconut Cream,Coconut meat,Coconut meat,,,,,,Coconut Harvesting,Harvest and prepare coconut meat,Pressing,Press coconut meat to extract cream,Pasteurization,Pasteurize the cream to eliminate pathogens,Homogenization,Homogenize to create uniform consistency,,,,,,,,,,,,
Whey Protein Concentrate,Liquid Whey,Liquid Whey,,,,,,Whey Collection,Collect liquid whey as a by-product of cheesemaking,Filtration,Filter to remove fats and carbohydrates,Concentration,Concentrate protein in the whey,Drying,Dry to produce whey protein concentrate,,,,,,,,,,,,
Wheat Starch,Wheat Grains,Wheat Grains,,,,,,Wheat Selection,Select and prepare Wheat Grains,Wet Milling,Mill grains in water to separate starch,Sedimentation,Settle out the starch and remove gluten,Drying,Dry to obtain powdered starch,,,,,,,,,,,,
Chicken Flavour,"Chicken meat, Chicken bones",Chicken meat,Chicken bones,,,,,Meat & Bone Prep,Prepare chicken meat and bones,Extraction,Extract flavor from meat and bones,Filtration,Filter to remove solids,Concentration,Concentrate the chicken essence,Drying,Dry to form powder flavor,,,,,,,,,,
Powdered instant coffee,Coffee beans,Coffee beans,,,,,,Coffee Bean Roasting,Roast coffee beans,Grinding,Grind beans into coarse powder,Extraction,Hot water extraction of coffee from grounds,Drying,Spray dry the coffee extract to form powder,,,,,,,,,,,,
Antioxidant: Rosemary Extract,Rosemary leaves,Rosemary leaves,,,,,,Leaf Selection,Select rosemary leaves,Extraction,Extract antioxidant compounds from leaves,Concentration,Concentrate the extract,Drying,Dry to obtain powdered extract,,,,,,,,,,,,
Acidity Regulator: 330,"Lemon, Limes",Lemon,Limes,,,,,Fruit Selection,Select and prepare lemons and limes,Juice Extraction,Extract juice from the fruits,Concentration,Concentrate the juice for higher acidity,Neutralization,Neutralize excess acidity if necessary,Drying,Dry to form powdered acidity regulator,,,,,,,,,,
Full Cream Milk,Dairy cows,Dairy cows,,,,,,Milk Collection,Collect milk from dairy cows,Clarification,Remove impurities from milk,Pasteurization,Heat milk to eliminate pathogens,Homogenization,Break down fat molecules evenly in milk,Fortification,Add vitamins and minerals if necessary,,,,,,,,,,
Food Acid: CitricAcid,"Lemon, Limes",Lemon,Limes,,,,,Fruit Selection,Select and prepare lemons and limes,Juice Extraction,Extract juice from the fruits,Fermentation,Ferment juice to produce citric acid,Concentration,Concentrate the citric acid for potency,Crystallization,Crystallize citric acid,,,,,,,,,,
Durum Wheat Semolina.,Durum wheat,Durum wheat,,,,,,Wheat Selection,Select and harvest durum wheat,Milling,Mill wheat to semolina,Purification,Purify semolina by sifting,Grading,Grade semolina based on quality,,,,,,,,,,,,
Milk Solids,Dairy milk,Dairy milk,,,,,,Milk Collection,Collect dairy milk,Evaporation,Evaporate water from milk to concentrate solids,Separation,Separate milk solids from liquid,Drying,Dry milk solids to create powder,,,,,,,,,,,,
Citric Acid: E330,"Lemon, Limes",Lemon,Limes,,,,,Fruit Selection,Select and prepare lemons and limes,Juice Extraction,Extract juice from the fruits,Fermentation,Ferment juice to produce citric acid,Concentration,Concentrate the citric acid for potency,Crystallization,Crystallize citric acid,,,,,,,,,,
Rolled Oats,Oat grains,Oat grains,,,,,,Oat Grain Selection,Select and harvest oat grains,Steaming,Steam grains to soften,Rolling,Roll grains to flatten,Drying,Dry the rolled oats,,,,,,,,,,,,
Cherry Halves,Cherry,Cherry,,,,,,Cherry Selection,Select and harvest cherries,Pitting,Remove pits from cherries,Halving,Cut cherries into halves,Drying,Dry cherry halves if necessary,,,,,,,,,,,,
Vinegar Flavour Acid: Citric,"Sucrose, Fructose, Yeast, Acetic Acid Bacteria",Sucrose,Fructose,Yeast,Acetic Acid Bacteria,,,Ingredient Preparation,"Prepare sucrose, fructose, and yeast",Fermentation,Ferment with acetic acid bacteria,Acidification,Add citric acid to achieve vinegar flavor,Concentration,Concentrate for desired strength,,,,,,,,,,,,
Citric Acid: E330,"Lemon, Limes",Lemon,Limes,,,,,Fruit Selection,Select and prepare lemons and limes,Juice Extraction,Extract juice from the fruits,Fermentation,Ferment juice to produce citric acid,Concentration,Concentrate the citric acid for potency,Crystallization,Crystallize citric acid,,,,,,,,,,
Food Acid: 330,"Lemon, Limes",Lemon,Limes,,,,,Fruit Selection,Select and prepare lemons and limes,Juice Extraction,Extract juice from the fruits,Fermentation,Ferment juice to produce citric acid,Concentration,Concentrate the citric acid for potency,Crystallization,Crystallize citric acid,,,,,,,,,,
Dextrose,Cornstarch,Cornstarch,,,,,,Cornstarch Processing,Process cornstarch to break down into dextrose,Hydrolysis,Hydrolyze starch to convert to dextrose,Purification,Purify the dextrose solution,Crystallization,Crystallize dextrose from solution,Drying,Dry to form dextrose powder,,,,,,,,,,
Coconut Extract,Coconut fruit,Coconut fruit,,,,,,Coconut Selection,Select and prepare coconut fruit,Pressing,Press coconut meat to extract milk,Concentration,Concentrate coconut milk to extract flavor,Drying,Dry to obtain coconut extract powder,,,,,,,,,,,,
Concentrated Vegetable Broth,Various vegetables,Various vegetables,,,,,,Vegetable Selection,Select and prepare various vegetables,Cooking,Cook vegetables to extract broth,Concentration,Concentrate the vegetable broth,Seasoning,Season broth to desired taste,Drying,Dry to create concentrated broth powder,,,,,,,,,,
Cheese Paste,"Cheese, Cheddar",Cheese,Cheddar,,,,,Cheese Production,Prepare cheese from milk,Aging,Age cheddar cheese,Grinding,Grind cheese to a paste,Blending,Blend cheese with emulsifiers to create paste,,,,,,,,,,,,
Antioxidant: Citric Acid: E330,"Lemon, Limes",Lemon,Limes,,,,,Fruit Selection,Select and prepare lemons and limes,Juice Extraction,Extract juice from the fruits,Fermentation,Ferment juice to produce citric acid,Concentration,Concentrate the citric acid for potency,Crystallization,Crystallize citric acid,,,,,,,,,,
Natural Colour: 120,Cochineal insects,Cochineal insects,,,,,,Insect Harvesting,Harvest cochineal insects,Crushing,Crush insects to extract color,Filtration,Filter to remove solids,Concentration,Concentrate the color,,Dry to obtain color powder,,,,,,,,,,
Food Colour: E120,Cochineal insects,Cochineal insects,,,,,,Insect Harvesting,Harvest cochineal insects,Crushing,Crush insects to extract color,Filtration,Filter to remove solids,Concentration,Concentrate the color extract,Drying,Dry to obtain color powder,,,,,,,,,,
Mineral Salt: 508,Potassium chloride,Potassium chloride,,,,,,Extraction,Extract potassium chloride from mineral deposits,Purification,Purify extracted salts,Crystallization,Crystallize potassium chloride,Drying,Dry to form powder,,,,,,,,,,,,
Colour: 120,Cochineal insects,Cochineal insects,,,,,,Insect Harvesting,Harvest cochineal insects,Crushing,Crush insects to extract color,Filtration,Filter to remove solids,Concentration,Concentrate the color extract,Drying,Dry to obtain color powder,,,,,,,,,,
Olive Oil,Olives,Olives,,,,,,Olive Harvesting,Harvest and prepare olives,Pressing,Press olives to extract oil,Decanting,Decant to separate oil from water and solids,Filtration,Filter to clarify oil,,,,,,,,,,,,
Vitamin: Folate,"Leafy greens, legumes",Leafy greens,legumes,,,,,Plant Selection,Select and harvest leafy greens and legumes,Extraction,Extract folate from plants,Concentration,Concentrate the folate solution,Purification,Purify folate extract,Drying,Dry to form folate powder,,,,,,,,,,
Acidity Regulator: 500,"Sodium carbonate, sodium bicarbonate",Sodium carbonate,sodium bicarbonate,,,,,Chemical Synthesis,Synthesize sodium carbonate and bicarbonate,Mixing,Mix chemicals to form regulator,Crystallization,Crystallize the mixture,Drying,Dry to form powder,,,,,,,,,,,,
Raising Agent: 500,Sodium bicarbonate,Sodium bicarbonate,,,,,,Chemical Synthesis,Synthesize sodium bicarbonate,Purification,Purify sodium bicarbonate,Crystallization,Crystallize sodium bicarbonate,Drying,Dry to form powder,,,,,,,,,,,,
Contain Colour: 120,Cochineal insects,Cochineal insects,,,,,,Insect Harvesting,Harvest cochineal insects,Crushing,Crush insects to extract color,Filtration,Filter to remove solids,Concentration,Concentrate the color extract,Drying,Dry to obtain color powder,,,,,,,,,,
Food Colour: Cochineal,Cochineal insects,Cochineal insects,,,,,,Insect Harvesting,Harvest cochineal insects,Crushing,Crush insects to extract color,Filtration,Filter to remove solids,Concentration,Concentrate the color extract,Drying,Dry to obtain color powder,,,,,,,,,,
Maltodextrin,"Starch, Corn, Wheat, Potato",Starch,Corn,Wheat,Potato,,,Starch Hydrolysis,"Hydrolyze starch from corn, wheat, and potato",Purification,Purify the maltodextrin solution,Evaporation,Evaporate water to concentrate maltodextrin,Drying,Spray dry to form powder,,,,,,,,,,,,
Cocoa Butter,Cocoa beans,Cocoa beans,,,,,,Cocoa Bean Processing,Process cocoa beans to separate butter,Pressing,Press processed beans to extract cocoa butter,Filtration,Filter to remove solids,Cooling,Cool to solidify cocoa butter,,,,,,,,,,,,
Stabiliser: 412,Guar beans,Guar beans,,,,,,Guar Bean Processing,Select and prepare guar beans,Grinding,Grind beans to extract guar gum,Hydration,Hydrate guar gum to form gel,Purification,Purify the guar solution,Drying,Dry to form guar gum powder,,,,,,,,,,
Mineral: Iron,"Beef, Lamb, Spinach",Beef,Lamb,Spinach,,,,Source Selection,"Select and process beef, lamb, and spinach",Extraction,Extract iron from food sources,Concentration,Concentrate the iron solution,Purification,Purify iron extract,Drying,Dry to form iron powder,,,,,,,,,,
Vinegar Flavour Acid: Acetic,Synthetic citric acid,Synthetic citric acid,,,,,,Synthesis,Synthesize acetic acid from citric acid,Concentration,Concentrate acetic acid,Purification,Purify acetic acid,Blending,Blend with flavorings if necessary,,,,,,,,,,,,
Butter,Dairy cream,Dairy cream,,,,,,Cream Collection,Collect dairy cream,Churning,Churn cream to separate butter,Washing,Wash butter to remove buttermilk,Kneading,Knead butter to achieve consistency,Cooling,Cool to solidify,,,,,,,,,,
Cocoa Mass,Cocoa beans,Cocoa beans,,,,,,Cocoa Bean Processing,Process cocoa beans to form mass,Grinding,Grind beans to create cocoa liquor,Refining,Refine liquor to desired fineness,Conching,Conch to develop flavor and texture,Tempering,Temper chocolate mass,,,,,,,,,,
Cornstarch,Corn,Corn,,,,,,Corn Processing,Process corn to extract starch,Wet Milling,Mill corn with water to separate starch,Sedimentation,Settle out the starch,Drying,Dry to obtain powdered starch,,,,,,,,,,,,
wheat starch,Wheat Grains,Wheat Grains,,,,,,Wheat Grain Processing,Process Wheat Grains to extract starch,Wet Milling,Mill grains with water to separate starch,Sedimentation,Settle out the starch,Drying,Dry to obtain powdered starch,,,,,,,,,,,,
Acidity Regulator: CitricAcid,Lemon Limes,Lemon Limes,,,,,,Fruit Selection,Select and prepare lemons and limes,Juice Extraction,Extract juice from the fruits,Fermentation,Ferment juice to produce citric acid,Concentration,Concentrate the citric acid for potency,Crystallization,Crystallize citric acid,,,,,,,,,,
Carboxy Methyl Cellulose: E466,"Cellulose, Wood, Cotton",Cellulose,Wood,Cotton,,,,Cellulose Extraction,Extract cellulose from wood and cotton,Chemical Modification,Modify cellulose to carboxymethyl cellulose,Purification,Purify the compound,Drying,Dry to obtain powdered form,,,,,,,,,,,,
Natural Mustard Flavour,Mustard seeds,Mustard seeds,,,,,,Seed Selection,Select and harvest mustard seeds,Grinding,Grind seeds to release flavor,Blending,Blend with other ingredients to form flavour base,Concentration,Concentrate flavor blend,,,,,,,,,,,,
Flavour: Gluten,Wheat,Wheat,,,,,,Wheat Harvesting,Harvest wheat,Gluten Extraction,Extract gluten from wheat,Drying,Dry the gluten,Pulverizing,Grind into fine powder,,,,,,,,,,,,
Cocoa Powder,Cocoa beans,Cocoa beans,,,,,,Cocoa Bean Processing,Ferment and dry cocoa beans,Roasting,Roast beans to develop flavor,Grinding,Grind roasted beans into cocoa liquor,Pressing,Press liquor to separate cocoa solids and butter,Pulverizing,Grind cocoa solids into powder,,,,,,,,,,
Milk Chocolate,"Cocoa beans, milk, sugar",Cocoa beans,milk,sugar,,,,Ingredient Mixing,"Mix cocoa beans, milk, and sugar",Conching,Conch mixture to develop texture and flavor,Tempering,Temper chocolate to stabilize fat crystals,Molding,Mold chocolate into shape,Cooling,Cool to set chocolate,,,,,,,,,,
Choc Paste:,"Cocoa mass, sugar, cocoa butter",Cocoa mass,sugar,cocoa butter,,,,Cocoa Mass Preparation,Prepare cocoa mass,Blending,Blend cocoa mass with sugar and cocoa butter,Refining,Refine to achieve smooth paste,Conching,Conch to develop flavor and texture,,,,,,,,,,,,
Starch,"Corn, wheat, potatoes, Tapioca, Arrowroot",Corn,wheat,potatoes,Tapioca,Arrowroot,,Raw Material Selection,"Select raw materials: corn, wheat, potatoes, etc.",Wet Milling,Wet mill raw materials to extract starch,Separation,Separate starch from other components,Drying,Dry to obtain powdered starch,,,,,,,,,,,,
Stabiliser: 466,Cellulose,Cellulose,,,,,,Cellulose Extraction,Extract cellulose from plant sources,Chemical Modification,Modify cellulose to form stabiliser 466,Purification,Purify the modified cellulose,Drying,Dry to form powdered stabiliser,,,,,,,,,,,,
Beans,Legume plants,Legume plants,,,,,,Legume Harvesting,Harvest legume plants,Cleaning,Clean and sort legumes,Cooking,Cook legumes until tender,Drying,Dry the cooked legumes,Grinding,Grind into desired consistency,,,,,,,,,,
Glucose Syrup,Corn,Corn,,,,,,Corn Processing,Process corn to extract starch,Hydrolysis,Hydrolyze starch to convert into glucose,Concentration,Concentrate glucose solution,Refining,Refine to remove impurities,Drying,Evaporate water to thicken syrup,,,,,,,,,,
Vegetable Fat,Palm Oil,Palm Oil,,,,,,Palm Oil Extraction,Extract oil from palm fruits,Refining,Refine palm oil to remove impurities,Blending,Blend refined oil to achieve desired consistency,Crystallization,Crystallize to stabilize fat,,,,,,,,,,,,
Sodium Caseinate,Cow's Milk,Cow's Milk,,,,,,Milk Processing,Process cow's milk,Precipitation,Precipitate casein from milk,Acidification or Rennet,Acidify or add rennet to coagulate casein,Drying,Dry casein to form powder,Sodium Addition,Add sodium to form sodium caseinate,,,,,,,,,,
Flavour Enhancer: 631,Inosinic Acid,Inosinic Acid,,,,,,Synthesis,Synthesize inosinic acid,Purification,Purify the synthesized inosinic acid,Concentration,Concentrate for enhanced potency,Drying,Dry to form powdered flavor enhancer,,,,,,,,,,,,
Cheese,Cow's Milk,Cow's Milk,,,,,,Milk Processing,Process cow's milk,Curdling,Curdle milk to form curds and whey,Pressing,Press curds to remove whey,Aging,Age cheese to develop flavor,Cutting,Cut into blocks or slices,,,,,,,,,,
Spice: Black Pepper,Black pepper fruits,Black pepper fruits,,,,,,Pepper Fruit Selection,Select and harvest black pepper fruits,Drying,Dry the pepper fruits,Grinding,Grind dried fruits to create pepper powder,Sieving,Sieve to ensure uniform particle size,,,,,,,,,,,,
Antioxidant: 304,"Palmitic Acid, Ascorbic Acid",Palmitic Acid,Ascorbic Acid,,,,,Acid Extraction,Extract ascorbic and palmitic acid,Blending,Blend acids to create antioxidant 304,Stabilization,Stabilize the blend,Drying,Dry to form powdered antioxidant,,,,,,,,,,,,
Garlic Powder,Garlic cloves,Garlic cloves,,,,,,Garlic Clove Selection,Select and harvest garlic cloves,Peeling,Peel the garlic cloves,Drying,Dry the peeled cloves,Grinding,Grind into fine powder,,,,,,,,,,,,
Food Colour: Caramel 3,"Sugars (glucose, sucrose)","Sugars (glucose, sucrose)",,,,,,Sugar Cooking,Cook sugars to initiate caramelization,Heating,Heat until sugars turn brown (caramelization),Concentration,Concentrate caramel color,Cooling,Cool the caramel color,Pulverizing,"Pulverize into powder, if necessary",,,,,,,,,,
Emulsifier: E304,Vegetable Oils,Vegetable Oils,,,,,,Oil Processing,Process vegetable oils,Chemical Reaction,React oils to create emulsifier E304,Purification,Purify the emulsifier,Drying,Dry to form powdered emulsifier,,,,,,,,,,,,
Vegetable Fats,"Soy Oil, Palm Oil",Soy Oil,Palm Oil,,,,,Oil Extraction,Extract oil from soy and palm,Refining,Refine oils to remove impurities,Blending,Blend oils to achieve desired consistency,Hydrogenation,Hydrogenate if necessary to solidify oils,,,,,,,,,,,,
Flavour Enhancer: 627,Sardines,Sardines,,,,,,Sardine Processing,Process sardines to extract flavor,Concentration,Concentrate the flavor extract,Purification,Purify to remove solids and impurities,Drying,Dry to create a powdered flavor enhancer,,,,,,,,,,,,
Food Acid: 270,"Lactic acid bacteria, cornstarch, potatoes",Lactic acid bacteria,cornstarch,potatoes,,,,Fermentation Setup,Prepare lactic acid bacteria culture,Fermentation,Ferment cornstarch and potatoes with bacteria,Acid Extraction,Extract lactic acid from the fermentation mixture,Concentration,Concentrate the lactic acid,Neutralization,Neutralize to desired pH,,,,,,,,,,
Canola Oil,Canola seeds,Canola seeds,,,,,,Seed Harvesting,Harvest canola seeds,Pressing,Press seeds to extract oil,Refining,Refine oil to remove impurities,Deodorizing,Deodorize oil to remove smell,,,,,,,,,,,,
Chicken Powder,"Chicken meat, bones",Chicken meat,bones,,,,,Chicken Processing,Cook chicken meat and bones,Dehydration,Dehydrate the cooked chicken,Grinding,Grind into powder,Blending,Blend with additional ingredients if needed,,,,,,,,,,,,
Navy Beans (Soy),Soybean plants,Soybean plants,,,,,,Soybean Harvesting,Harvest soybean plants,Cleaning,Clean and sort soybeans,Cooking,Cook soybeans,Drying,Dry cooked soybeans,Grinding,Grind into flour or powder,,,,,,,,,,
Wheat,Wheat,Wheat,,,,,,Wheat Harvesting,Harvest wheat from fields,Milling,Mill Wheat Grains into flour,Sifting,Sift flour for consistency,,,,,,,,,,,,,,
Cream,Dairy milk,Dairy milk,,,,,,Milk Collection,Collect dairy milk,Fat Separation,Separate cream from milk,Pasteurization,Pasteurize cream to eliminate pathogens,Cooling,Cool to maintain freshness,,,,,,,,,,,,
Wholegrain Wheat,Cultivated whole wheat fields,Cultivated whole wheat fields,,,,,,Wheat Harvesting,Harvest whole wheat,Cleaning,Clean and sort Wheat Grains,Milling,Mill grains to retain bran and germ,,,,,,,,,,,,,,
Mackerel Oil,Mackerel ,Mackerel,,,,,,Mackerel Processing,Process mackerel to extract oil,Pressing,Press to obtain oil,Refining,Refine to remove impurities,Deodorizing,Deodorize to remove fish smell,,,,,,,,,,,,
salt,"Seawater, rock salt deposits",Seawater,rock salt deposits,,,,,Extraction or Evaporation,Harvest seawater or mine rock salt,Evaporation or Crushing,Evaporate seawater or crush mined salt,Refining,Refine to remove impurities,Iodizing,Add iodine if necessary,,,,,,,,,,,,
Stabilizer: E466,Cellulose,Cellulose,,,,,,Cellulose Extraction,Extract cellulose from plant sources,Chemical Modification,Modify cellulose to create stabilizer E466,Purification,Purify to remove any impurities,Drying,Dry to obtain powdered form,,,,,,,,,,,,
Emulsifier: 471,Glycerine,Glycerine,,,,,,Glycerine Production,Produce glycerine through saponification or synthesis,Purification,Purify glycerine,Blending,Blend with other ingredients to form emulsifier,,,,,,,,,,,,,,
Emulsifier: E481,"Stearic Acid, Lactic Acid, Sonium Hydroxide",Stearic Acid,Lactic Acid,Sonium Hydroxide,,,,Acid Synthesis,Synthesize stearic acid and lactic acid,Neutralization,Neutralize acids with sodium hydroxide,Blending,Blend to form emulsifier E481,Drying,Dry to form powdered emulsifier,,,,,,,,,,,,
Vegetable Powder: Garlic,Garlic bulbs,Garlic bulbs,,,,,,Garlic Bulb Harvesting,Harvest garlic bulbs,Peeling,Peel the garlic bulbs,Drying,Dry the peeled garlic,Grinding,Grind into fine powder,,,,,,,,,,,,
Citric Acid: E330,"Citrus fruits, fermentation",Citrus fruits,fermentation,,,,,Fermentation,Ferment citrus fruits to produce citric acid,Filtration,Filter to purify citric acid,Concentration,Concentrate citric acid solution,Crystallization,Crystallize citric acid to solid form,Drying,Dry the crystals to powder form,,,,,,,,,,
Food Colour: Turmeric,Turmeric root,Turmeric root,,,,,,Root Harvesting,Harvest turmeric root,Grinding,Grind roots into powder,Extraction,Extract colour component from powder,Concentration,Concentrate turmeric extract,Drying,Dry to form powder,,,,,,,,,,
Polysorbate 60: E435,"Sorbitol, Stearic Acid, Ethylene Oxide",Sorbitol,Stearic Acid,Ethylene Oxide,,,,Synthesis,React sorbitol with stearic acid and ethylene oxide,Purification,Purify to remove by-products,Concentration,Concentrate the mixture,Blending,Blend to standardize mixture,,,,,,,,,,,,
Rice Flour,Rice grains,Rice grains,,,,,,Grain Harvesting,Harvest rice grains,Milling,Mill grains into flour,Sifting,Sift flour to fine consistency,,,,,,,,,,,,,,
Wheat flour,Wheat Grains,Wheat Grains,,,,,,Grain Harvesting,Harvest Wheat Grains,Milling,Mill grains into flour,Sifting,Sift flour to fine consistency,,,,,,,,,,,,,,
